,comm_date,author,author_id,likes,comment,video_id
38,2024-12-07T02:20:59Z,@bagaszella2004,UCrKL0lU9ZAgOvY0Runrbl1A,0,"Sebaiknya dakwah agama itu seharusnya jadi suri tauladan para ulama. Baik ucapan,maupun tingkah, menjadi contoh orang banyak.",jFyQPbcXSGQ
39,2024-12-07T02:16:06Z,@HARIANSYAH1507,UCzih7543QVW9PZqUWr2ggjQ,0,Plajaran buat smua klau suka bercanda jgn sampai brlebihan  brsikaplah yg dewasa n pandai mengendalikan diri,jFyQPbcXSGQ
40,2024-12-07T02:13:36Z,@ayuniken3237,UCMYuloec-WdAS1qQzVP9-8A,0,"Knapa kamu nangis ,berat meninggalkan duniawi kamu,takut  gak d percaya rakyat indonesia y....kapoooookkkk",jFyQPbcXSGQ
41,2024-12-07T02:11:37Z,@ayuniken3237,UCMYuloec-WdAS1qQzVP9-8A,0,"Bener lebih baik mundur kamu mifta,jgan mundur dari utusan negara aja ,kamu mundur jga sebagai ustad,belajar dulu aja kamu...",jFyQPbcXSGQ
42,2024-12-07T02:05:25Z,@tgffh6697,UC3Rxt_XOeH8s7ctUfG3ruqg,0,"Sebenarnya dr ucapan gus miftah membawa berkah buat pak suhaji ,Allah turunkan Rizky yg berlimpah.berkat ucapan gus miftah menjadi ky mendadak.seharusnya berterima kasih jg sm gus miftah.cb kl bukan ke khilaf an gus miftah mungkin pak suhaji ga seperti sekarang ini.intinys kita tidak boleh saling menhujat siapapun karena manusia tidak ada yg sempurna,kesempurnaan hanya milik Allah semata.semangat gus.💪💪💪",jFyQPbcXSGQ
43,2024-12-07T02:02:53Z,@adisiswoyo2478,UCN_OQPNOm7K_14FQEOsaDEg,0,alhamdulillah,jFyQPbcXSGQ
44,2024-12-07T02:01:36Z,@aderacindiana6351,UC3S9bORX5TdNR4aEB9X3uMw,0,"Semoga,dengan kemunduran diri Gus Mifta dan mengakui kesalahannya, Allah SWT akan memberikan kemuliaan dan kemudahan dlm segala hal ,sifat mengakui kesalahann  adalah sifat kesatria",jFyQPbcXSGQ
45,2024-12-07T01:57:18Z,@karimyuli,UC2oIQSMjllwJJVtrY0wlq6g,0,Waduh.mau mundur aja kok pakai dalil.ya ...mundur aja.pakai nangis pula.kok dagelan..gus.,jFyQPbcXSGQ
46,2024-12-07T01:52:45Z,@ahmadzubairi8587,UCTq7r83lt-kSG4j7DFgG1QQ,0,Bagus deh gk cocok jd staf presiden krn nyontohin ahlak dan adab yg jellek,jFyQPbcXSGQ
47,2024-12-07T01:51:39Z,@lislis3450,UCT--487aLT45bP7jZbjn4ww,0,"Makanya jadi panutan tuh harus Arip dan bijaksana ,jaga tuh mulut udah di panggil ustadz apalah ,lebih baik diam ,dengan diam jadi emas",jFyQPbcXSGQ
